"No.","Time","Source","Destination","Protocol","Length","Info"
"24","12:50:48.620034","192.168.43.9","88.135.218.68","UDP","107","6881  >  40478 Len=65"
"25","12:50:48.708338","88.135.218.68","192.168.43.9","UDP","110","40478  >  6881 Len=68"
"26","12:50:49.352608","192.168.43.9","216.58.208.110","ICMP","98","Echo (ping) request  id=0x000c, seq=2/512, ttl=128 (reply in 28)"
"27","12:50:49.397981","13.107.4.254","192.168.43.9","TCP","54","443  >  50366 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"28","12:50:49.409078","216.58.208.110","192.168.43.9","ICMP","98","Echo (ping) reply    id=0x000c, seq=2/512, ttl=53 (request in 26)"
"29","12:50:49.961931","192.168.43.9","108.177.127.188","TCP","55","50334  >  5228 [ACK] Seq=1 Ack=1 Win=258 Len=1"
"30","12:50:50.043548","108.177.127.188","192.168.43.9","TCP","66","5228  >  50334 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2"
"31","12:50:50.353183","192.168.43.9","216.58.208.110","ICMP","98","Echo (ping) request  id=0x000c, seq=3/768, ttl=128 (reply in 32)"
"32","12:50:50.398622","216.58.208.110","192.168.43.9","ICMP","98","Echo (ping) reply    id=0x000c, seq=3/768, ttl=53 (request in 31)"
"33","12:50:50.884318","192.168.43.9","95.101.193.16","TCP","55","50338  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"34","12:50:50.884320","192.168.43.9","95.101.193.16","TCP","55","50340  >  443 [ACK] Seq=1 Ack=1 Win=1563 Len=1 [TCP segment of a reassembled PDU]"
"35","12:50:50.884321","192.168.43.9","151.101.130.217","TCP","55","50341  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"36","12:50:50.884322","192.168.43.9","95.101.193.16","TCP","55","50337  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"37","12:50:50.884430","192.168.43.9","95.101.193.16","TCP","55","50335  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"38","12:50:50.900002","192.168.43.9","95.101.193.16","TCP","55","50336  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"39","12:50:50.962479","192.168.43.9","151.101.36.134","TCP","55","50359  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"40","12:50:50.978596","95.101.193.16","192.168.43.9","TCP","66","443  >  50340 [ACK] Seq=1 Ack=2 Win=328 Len=0 SLE=1 SRE=2"
"41","12:50:50.982016","151.101.130.217","192.168.43.9","TCP","66","443  >  50341 [ACK] Seq=1 Ack=2 Win=62 Len=0 SLE=1 SRE=2"
"42","12:50:50.986528","95.101.193.16","192.168.43.9","TCP","66","443  >  50335 [ACK] Seq=1 Ack=2 Win=374 Len=0 SLE=1 SRE=2"
"43","12:50:50.990031","95.101.193.16","192.168.43.9","TCP","66","443  >  50336 [ACK] Seq=1 Ack=2 Win=419 Len=0 SLE=1 SRE=2"
"44","12:50:50.990031","95.101.193.16","192.168.43.9","TCP","66","443  >  50338 [ACK] Seq=1 Ack=2 Win=283 Len=0 SLE=1 SRE=2"
"45","12:50:50.990032","95.101.193.16","192.168.43.9","TCP","66","443  >  50337 [ACK] Seq=1 Ack=2 Win=283 Len=0 SLE=1 SRE=2"
"46","12:50:50.995072","151.101.36.134","192.168.43.9","TCP","66","443  >  50359 [ACK] Seq=1 Ack=2 Win=65 Len=0 SLE=1 SRE=2"
"47","12:50:51.353644","192.168.43.9","216.58.208.110","ICMP","98","Echo (ping) request  id=0x000c, seq=4/1024, ttl=128 (reply in 48)"
"48","12:50:51.399940","216.58.208.110","192.168.43.9","ICMP","98","Echo (ping) reply    id=0x000c, seq=4/1024, ttl=53 (request in 47)"
"49","12:50:52.355076","192.168.43.9","216.58.208.110","ICMP","98","Echo (ping) request  id=0x000c, seq=5/1280, ttl=128 (reply in 50)"
"50","12:50:52.409097","216.58.208.110","192.168.43.9","ICMP","98","Echo (ping) reply    id=0x000c, seq=5/1280, ttl=53 (request in 49)"
"51","12:50:53.356126","192.168.43.9","216.58.208.110","ICMP","98","Echo (ping) request  id=0x000c, seq=6/1536, ttl=128 (reply in 53)"
"52","12:50:53.407284","13.107.136.254","192.168.43.9","TCP","54","443  >  50369 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"53","12:50:53.418974","216.58.208.110","192.168.43.9","ICMP","98","Echo (ping) reply    id=0x000c, seq=6/1536, ttl=53 (request in 51)"
"54","12:50:53.621894","192.168.43.9","68.204.239.47","UDP","107","6881  >  32022 Len=65"
"55","12:50:53.891738","68.204.239.47","192.168.43.9","UDP","108","32022  >  6881 Len=66"
"56","12:50:54.356678","192.168.43.9","216.58.208.110","ICMP","98","Echo (ping) request  id=0x000c, seq=7/1792, ttl=128 (reply in 57)"
"57","12:50:54.439609","216.58.208.110","192.168.43.9","ICMP","98","Echo (ping) reply    id=0x000c, seq=7/1792, ttl=53 (request in 56)"
"58","12:50:55.106866","192.168.43.9","69.171.250.54","TLSv1.2","85","Application Data"
"59","12:50:55.191354","69.171.250.54","192.168.43.9","TCP","54","443  >  50371 [ACK] Seq=1 Ack=32 Win=198 Len=0"
"60","12:50:55.282555","69.171.250.54","192.168.43.9","TLSv1.2","92","Application Data"
"61","12:50:55.325319","192.168.43.9","69.171.250.54","TCP","54","50371  >  443 [ACK] Seq=32 Ack=39 Win=255 Len=0"
"62","12:50:55.367242","5a:b1:0f:29:24:fa","IntelCor_24:ee:01","ARP","42","Who has 192.168.43.9? Tell 192.168.43.1"
"63","12:50:55.367255","IntelCor_24:ee:01","5a:b1:0f:29:24:fa","ARP","42","192.168.43.9 is at 80:86:f2:24:ee:01"
"64","12:50:56.508418","93.184.220.29","192.168.43.9","TCP","54","[TCP Previous segment not captured] 80  >  50365 [FIN, ACK] Seq=2 Ack=1 Win=288 Len=0"
"65","12:50:56.508462","192.168.43.9","93.184.220.29","TCP","54","[TCP ACKed unseen segment] 50365  >  80 [ACK] Seq=1 Ack=3 Win=255 Len=0"
"66","12:50:56.543996","192.168.43.9","95.101.193.16","TCP","55","50339  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"67","12:50:56.592292","95.101.193.16","192.168.43.9","TCP","66","443  >  50339 [ACK] Seq=1 Ack=2 Win=419 Len=0 SLE=1 SRE=2"
"68","12:50:58.434590","192.168.43.9","69.171.250.54","TLSv1.2","829","Application Data"
"69","12:50:58.475896","192.168.43.9","69.171.250.54","TLSv1.2","174","Application Data"
"70","12:50:58.530295","69.171.250.54","192.168.43.9","TCP","54","443  >  50371 [ACK] Seq=39 Ack=807 Win=209 Len=0"
"71","12:50:58.530295","69.171.250.54","192.168.43.9","TCP","54","443  >  50371 [ACK] Seq=39 Ack=927 Win=209 Len=0"
"72","12:50:58.601318","13.107.42.254","192.168.43.9","TCP","54","443  >  50370 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"73","12:50:58.622614","192.168.43.9","92.127.110.5","UDP","107","6881  >  36205 Len=65"
"74","12:50:58.622759","69.171.250.54","192.168.43.9","TLSv1.2","88","Application Data"
"75","12:50:58.622760","69.171.250.54","192.168.43.9","TLSv1.2","88","Application Data"
"76","12:50:58.622802","192.168.43.9","69.171.250.54","TCP","54","50371  >  443 [ACK] Seq=927 Ack=107 Win=255 Len=0"
"77","12:50:58.733930","69.171.250.54","192.168.43.9","TLSv1.2","90","Application Data"
"78","12:50:58.774426","192.168.43.9","69.171.250.54","TCP","54","50371  >  443 [ACK] Seq=927 Ack=143 Win=255 Len=0"
"79","12:50:58.775455","92.127.110.5","192.168.43.9","UDP","110","36205  >  6881 Len=68"
"80","12:50:58.884243","69.171.250.54","192.168.43.9","TLSv1.2","102","Application Data"
"81","12:50:58.925056","192.168.43.9","69.171.250.54","TCP","54","50371  >  443 [ACK] Seq=927 Ack=191 Win=255 Len=0"
"82","12:50:59.508246","192.168.43.9","172.217.17.36","UDP","1392","55897  >  443 Len=1350"
"83","12:50:59.509169","192.168.43.9","172.217.17.36","UDP","1171","55897  >  443 Len=1129"
"84","12:50:59.592317","192.168.43.9","172.217.17.36","UDP","1392","55897  >  443 Len=1350"
"85","12:50:59.623393","172.217.17.36","192.168.43.9","UDP","1392","443  >  55897 Len=1350"
"86","12:50:59.623849","192.168.43.9","172.217.17.36","UDP","70","55897  >  443 Len=28"
"87","12:50:59.645718","172.217.17.36","192.168.43.9","UDP","62","443  >  55897 Len=20"
"88","12:50:59.649226","172.217.17.36","192.168.43.9","UDP","819","443  >  55897 Len=777"
"89","12:50:59.649227","172.217.17.36","192.168.43.9","UDP","61","443  >  55897 Len=19"
"90","12:50:59.649227","172.217.17.36","192.168.43.9","UDP","193","443  >  55897 Len=151"
"91","12:50:59.649495","192.168.43.9","172.217.17.36","UDP","70","55897  >  443 Len=28"
"92","12:50:59.675502","192.168.43.9","172.217.17.36","UDP","70","55897  >  443 Len=28"
"93","12:51:00.696965","192.168.43.9","192.168.43.1","DNS","76","Standard query 0xbe6f A web.whatsapp.com"
"94","12:51:00.702870","192.168.43.9","54.240.168.28","TCP","54","50356  >  443 [FIN, ACK] Seq=1 Ack=33 Win=255 Len=0"
"95","12:51:00.702991","192.168.43.9","54.240.168.28","TCP","54","50356  >  443 [RST, ACK] Seq=2 Ack=33 Win=0 Len=0"
"96","12:51:00.703169","192.168.43.9","13.227.209.223","TCP","54","50352  >  443 [FIN, ACK] Seq=1 Ack=1 Win=258 Len=0"
"97","12:51:00.703240","192.168.43.9","13.227.209.223","TCP","54","50352  >  443 [RST, ACK] Seq=2 Ack=1 Win=0 Len=0"
"98","12:51:00.785666","54.240.168.28","192.168.43.9","TCP","54","443  >  50356 [ACK] Seq=33 Ack=2 Win=124 Len=0"
"99","12:51:00.790761","192.168.43.9","192.168.43.1","DNS","76","Standard query 0xbe6f A web.whatsapp.com"
"100","12:51:00.794494","13.227.209.223","192.168.43.9","TCP","54","443  >  50352 [ACK] Seq=1 Ack=2 Win=124 Len=0"
"101","12:51:00.798270","192.168.43.1","192.168.43.9","DNS","129","Standard query response 0xbe6f A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 69.171.250.54"
"102","12:51:00.798828","192.168.43.9","69.171.250.54","TCP","66","50378  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"103","12:51:00.828638","69.171.250.54","192.168.43.9","TCP","66","443  >  50378 [SYN, ACK] Seq=0 Ack=1 Win=28000 Len=0 MSS=1400 SACK_PERM=1 WS=256"
"104","12:51:00.828701","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"105","12:51:00.828974","192.168.43.9","69.171.250.54","TLSv1.3","571","Client Hello"
"106","12:51:00.877756","69.171.250.54","192.168.43.9","TCP","54","443  >  50378 [ACK] Seq=1 Ack=518 Win=29184 Len=0"
"107","12:51:00.877757","69.171.250.54","192.168.43.9","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"108","12:51:00.879060","192.168.43.9","69.171.250.54","TLSv1.3","118","Change Cipher Spec, Application Data"
"109","12:51:00.879288","192.168.43.9","69.171.250.54","TLSv1.3","140","Application Data"
"110","12:51:00.879605","192.168.43.9","69.171.250.54","TLSv1.3","516","Application Data"
"111","12:51:00.925881","69.171.250.54","192.168.43.9","TCP","54","443  >  50378 [ACK] Seq=213 Ack=668 Win=29184 Len=0"
"112","12:51:00.925882","69.171.250.54","192.168.43.9","TLSv1.3","218","Application Data"
"113","12:51:00.929870","69.171.250.54","192.168.43.9","TLSv1.3","128","Application Data"
"114","12:51:00.929871","69.171.250.54","192.168.43.9","TLSv1.3","85","Application Data"
"115","12:51:00.929871","69.171.250.54","192.168.43.9","TLSv1.3","89","Application Data"
"116","12:51:00.929928","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1130 Ack=517 Win=65280 Len=0"
"117","12:51:00.930079","192.168.43.9","69.171.250.54","TLSv1.3","85","Application Data"
"118","12:51:00.952027","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=517 Ack=1130 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"119","12:51:00.952028","69.171.250.54","192.168.43.9","TLSv1.3","1247","Application Data, Application Data"
"120","12:51:00.952028","69.171.250.54","192.168.43.9","TLSv1.3","217","Application Data"
"121","12:51:00.952073","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1161 Ack=3273 Win=65792 Len=0"
"122","12:51:00.968752","192.168.43.9","69.171.250.54","TLSv1.2","84","Application Data"
"123","12:51:00.969112","192.168.43.9","69.171.250.54","TCP","54","50371  >  443 [FIN, ACK] Seq=957 Ack=191 Win=255 Len=0"
"124","12:51:00.990745","192.168.43.9","69.171.250.54","TLSv1.3","165","Application Data"
"125","12:51:00.991212","192.168.43.9","69.171.250.54","TLSv1.3","139","Application Data"
"126","12:51:01.013088","69.171.250.54","192.168.43.9","TCP","66","[TCP Dup ACK 71#1] 443  >  50371 [ACK] Seq=191 Ack=927 Win=209 Len=0 SLE=957 SRE=958"
"127","12:51:01.019784","69.171.250.54","192.168.43.9","TCP","54","443  >  50378 [ACK] Seq=3273 Ack=1161 Win=30208 Len=0"
"128","12:51:01.019785","69.171.250.54","192.168.43.9","TCP","54","443  >  50371 [ACK] Seq=191 Ack=958 Win=209 Len=0"
"129","12:51:01.019786","69.171.250.54","192.168.43.9","TCP","54","443  >  50371 [FIN, ACK] Seq=191 Ack=958 Win=209 Len=0"
"130","12:51:01.019860","192.168.43.9","69.171.250.54","TCP","54","50371  >  443 [ACK] Seq=958 Ack=192 Win=255 Len=0"
"131","12:51:01.039252","69.171.250.54","192.168.43.9","TCP","54","443  >  50378 [ACK] Seq=3273 Ack=1272 Win=30208 Len=0"
"132","12:51:01.039252","69.171.250.54","192.168.43.9","TLSv1.3","89","Application Data"
"133","12:51:01.039254","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=3308 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"134","12:51:01.039255","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"135","12:51:01.039255","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=6108 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"136","12:51:01.039255","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=7508 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"137","12:51:01.039256","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=8908 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"138","12:51:01.039257","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=10308 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"139","12:51:01.039257","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=11708 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"140","12:51:01.039258","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=13108 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"141","12:51:01.039258","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=14508 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"142","12:51:01.039342","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1357 Ack=15908 Win=65792 Len=0"
"143","12:51:01.039885","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=15908 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"144","12:51:01.039886","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=17308 Ack=1272 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"145","12:51:01.039926","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1357 Ack=18708 Win=65792 Len=0"
"146","12:51:01.040458","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"147","12:51:01.040499","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1357 Ack=20108 Win=65792 Len=0"
"148","12:51:01.042047","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"149","12:51:01.042097","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1357 Ack=21508 Win=65792 Len=0"
"150","12:51:01.080878","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=21508 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"151","12:51:01.080879","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=22908 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"152","12:51:01.080880","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=24308 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"153","12:51:01.080881","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=25708 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"154","12:51:01.080882","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=27108 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"155","12:51:01.080882","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=28508 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"156","12:51:01.080883","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=29908 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"157","12:51:01.080883","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=31308 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"158","12:51:01.080884","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=32708 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"159","12:51:01.080953","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1357 Ack=34108 Win=65792 Len=0"
"160","12:51:01.081040","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data, Application Data"
"161","12:51:01.081058","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1357 Ack=35508 Win=65792 Len=0"
"162","12:51:01.081945","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"163","12:51:01.081946","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=36908 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"164","12:51:01.081948","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=38308 Ack=1357 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"165","12:51:01.081949","69.171.250.54","192.168.43.9","TLSv1.3","933","Application Data"
"166","12:51:01.082001","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1357 Ack=40587 Win=65792 Len=0"
"167","12:51:01.124210","192.168.43.9","69.171.250.54","TLSv1.3","134","Application Data"
"168","12:51:01.124367","192.168.43.9","69.171.250.54","TLSv1.3","134","Application Data"
"169","12:51:01.124674","192.168.43.9","69.171.250.54","TLSv1.3","131","Application Data"
"170","12:51:01.165895","69.171.250.54","192.168.43.9","TLSv1.3","89","Application Data"
"171","12:51:01.171565","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=40622 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"172","12:51:01.171566","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"173","12:51:01.171567","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=43422 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"174","12:51:01.171568","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=44822 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"175","12:51:01.171569","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=46222 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"176","12:51:01.171569","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=47622 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"177","12:51:01.171570","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=49022 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"178","12:51:01.171570","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=50422 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"179","12:51:01.171571","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=51822 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"180","12:51:01.171571","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=53222 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"181","12:51:01.171651","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1594 Ack=54622 Win=65792 Len=0"
"182","12:51:01.171799","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=54622 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"183","12:51:01.171833","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1594 Ack=56022 Win=65792 Len=0"
"184","12:51:01.172937","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"185","12:51:01.172938","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"186","12:51:01.172941","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=58822 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"187","12:51:01.172942","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=60222 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"188","12:51:01.172943","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=61622 Ack=1437 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"189","12:51:01.172944","69.171.250.54","192.168.43.9","TCP","54","443  >  50378 [ACK] Seq=63022 Ack=1594 Win=30208 Len=0"
"190","12:51:01.173028","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1594 Ack=63022 Win=65792 Len=0"
"191","12:51:01.174067","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=63022 Ack=1594 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"192","12:51:01.174068","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=64422 Ack=1594 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"193","12:51:01.174070","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=65822 Ack=1594 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"194","12:51:01.174073","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=67222 Ack=1594 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"195","12:51:01.174175","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1594 Ack=68622 Win=65792 Len=0"
"196","12:51:01.175818","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=68622 Ack=1594 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"197","12:51:01.175819","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=70022 Ack=1594 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"198","12:51:01.175820","69.171.250.54","192.168.43.9","TCP","1454","443  >  50378 [ACK] Seq=71422 Ack=1594 Win=30208 Len=1400 [TCP segment of a reassembled PDU]"
"199","12:51:01.175822","69.171.250.54","192.168.43.9","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"200","12:51:01.175905","192.168.43.9","69.171.250.54","TCP","54","50378  >  443 [ACK] Seq=1594 Ack=74222 Win=65792 Len=0"
